No;Kode;Daerah;Level;SD;SMP;SMA;SMK;Total
2;10100;Kab. Kepulauan Seribu;Kabupaten/Kota;1;0;0;0;1
3;16000;Kota Jakarta Pusat;Kabupaten/Kota;57;25;17;42;141
4;16100;Kota Jakarta Utara;Kabupaten/Kota;162;57;23;42;284
5;16200;Kota Jakarta Barat;Kabupaten/Kota;235;46;44;19;344
6;16300;Kota Jakarta Selatan;Kabupaten/Kota;139;62;24;24;249
7;16400;Kota Jakarta Timur;Kabupaten/Kota;221;82;229;65;597
9;20500;Kab. Bogor;Kabupaten/Kota;781;130;66;328;1.305
10;20600;Kab. Sukabumi;Kabupaten/Kota;374;94;82;248;798
11;20700;Kab. Cianjur;Kabupaten/Kota;500;160;44;184;888
12;20800;Kab. Bandung;Kabupaten/Kota;465;100;26;89;680
13;21000;Kab. Sumedang;Kabupaten/Kota;117;10;0;4;131
14;21100;Kab. Garut;Kabupaten/Kota;316;112;100;95;623
15;21200;Kab. Tasikmalaya;Kabupaten/Kota;194;67;78;20;359
16;21400;Kab. Ciamis;Kabupaten/Kota;78;19;3;19;119
17;21500;Kab. Kuningan;Kabupaten/Kota;104;24;9;48;185
18;21600;Kab. Majalengka;Kabupaten/Kota;147;19;3;13;182
19;21700;Kab. Cirebon;Kabupaten/Kota;231;59;7;129;426
20;21800;Kab. Indramayu;Kabupaten/Kota;208;64;80;41;393
21;21900;Kab. Subang;Kabupaten/Kota;126;56;24;67;273
22;22000;Kab. Purwakarta;Kabupaten/Kota;84;15;5;9;113
23;22100;Kab. Karawang;Kabupaten/Kota;388;49;7;46;490
24;22200;Kab. Bekasi;Kabupaten/Kota;267;55;9;89;420
25;22300;Kab. Bandung Barat;Kabupaten/Kota;202;40;79;38;359
26;22500;Kab. Pangandaran;Kabupaten/Kota;23;2;1;13;39
27;26000;Kota Bandung;Kabupaten/Kota;135;5;10;22;172
28;26100;Kota Bogor;Kabupaten/Kota;46;11;0;10;67
29;26200;Kota Sukabumi;Kabupaten/Kota;31;1;13;0;45
30;26300;Kota Cirebon;Kabupaten/Kota;23;19;1;3;46
31;26500;Kota Bekasi;Kabupaten/Kota;176;33;36;35;280
32;26600;Kota Depok;Kabupaten/Kota;154;45;3;22;224
33;26700;Kota Cimahi;Kabupaten/Kota;24;7;1;8;40
34;26800;Kota Tasikmalaya;Kabupaten/Kota;64;20;0;8;92
35;26900;Kota Banjar;Kabupaten/Kota;14;1;1;7;23
37;30100;Kab. Cilacap;Kabupaten/Kota;109;8;8;8;133
38;30200;Kab. Banyumas;Kabupaten/Kota;92;28;7;12;139
39;30300;Kab. Purbalingga;Kabupaten/Kota;56;0;1;33;90
40;30400;Kab. Banjarnegara;Kabupaten/Kota;123;16;2;15;156
41;30500;Kab. Kebumen;Kabupaten/Kota;111;3;9;25;148
42;30600;Kab. Purworejo;Kabupaten/Kota;14;14;0;0;28
43;30700;Kab. Wonosobo;Kabupaten/Kota;46;23;2;1;72
44;30800;Kab. Magelang;Kabupaten/Kota;58;30;2;34;124
45;30900;Kab. Boyolali;Kabupaten/Kota;39;2;7;8;56
46;31000;Kab. Klaten;Kabupaten/Kota;32;1;7;9;49
47;31100;Kab. Sukoharjo;Kabupaten/Kota;34;4;14;6;58
48;31200;Kab. Wonogiri;Kabupaten/Kota;40;17;4;20;81
49;31300;Kab. Karanganyar;Kabupaten/Kota;25;11;0;8;44
50;31400;Kab. Sragen;Kabupaten/Kota;60;25;7;19;111
51;31500;Kab. Grobogan;Kabupaten/Kota;86;35;5;44;170
52;31600;Kab. Blora;Kabupaten/Kota;84;8;5;14;111
53;31700;Kab. Rembang;Kabupaten/Kota;15;2;6;7;30
54;31800;Kab. Pati;Kabupaten/Kota;90;4;2;29;125
55;31900;Kab. Kudus;Kabupaten/Kota;45;4;0;15;64
56;32000;Kab. Jepara;Kabupaten/Kota;52;18;13;22;105
57;32100;Kab. Demak;Kabupaten/Kota;130;4;6;58;198
58;32200;Kab. Semarang;Kabupaten/Kota;53;8;2;30;93
59;32300;Kab. Temanggung;Kabupaten/Kota;16;7;1;1;25
60;32400;Kab. Kendal;Kabupaten/Kota;40;11;10;28;89
61;32500;Kab. Batang;Kabupaten/Kota;80;3;1;5;89
62;32600;Kab. Pekalongan;Kabupaten/Kota;67;8;9;6;90
63;32700;Kab. Pemalang;Kabupaten/Kota;141;27;1;14;183
64;32800;Kab. Tegal;Kabupaten/Kota;121;21;4;65;211
65;32900;Kab. Brebes;Kabupaten/Kota;221;90;10;98;419
66;36000;Kota Magelang;Kabupaten/Kota;3;4;2;1;10
67;36100;Kota Surakarta;Kabupaten/Kota;31;8;6;3;48
68;36200;Kota Salatiga;Kabupaten/Kota;4;7;0;2;13
69;36300;Kota Semarang;Kabupaten/Kota;65;10;4;9;88
70;36400;Kota Pekalongan;Kabupaten/Kota;13;2;0;1;16
71;36500;Kota Tegal;Kabupaten/Kota;16;1;9;2;28
73;40100;Kab. Bantul;Kabupaten/Kota;14;0;1;4;19
74;40200;Kab. Sleman;Kabupaten/Kota;24;1;1;4;30
75;40300;Kab. Gunungkidul;Kabupaten/Kota;21;4;2;0;27
76;40400;Kab. Kulon Progo;Kabupaten/Kota;6;4;0;4;14
77;46000;Kota Yogyakarta;Kabupaten/Kota;34;5;1;8;48
79;50100;Kab. Gresik;Kabupaten/Kota;55;22;15;82;174
80;50200;Kab. Sidoarjo;Kabupaten/Kota;80;37;13;43;173
81;50300;Kab. Mojokerto;Kabupaten/Kota;25;16;21;1;63
82;50400;Kab. Jombang;Kabupaten/Kota;77;25;16;8;126
83;50500;Kab. Bojonegoro;Kabupaten/Kota;29;9;15;26;79
84;50600;Kab. Tuban;Kabupaten/Kota;33;16;13;7;69
85;50700;Kab. Lamongan;Kabupaten/Kota;21;21;34;19;95
86;50800;Kab. Madiun;Kabupaten/Kota;19;3;2;3;27
87;50900;Kab. Ngawi;Kabupaten/Kota;28;22;13;10;73
88;51000;Kab. Magetan;Kabupaten/Kota;29;5;17;9;60
89;51100;Kab. Ponorogo;Kabupaten/Kota;22;17;5;29;73
90;51200;Kab. Pacitan;Kabupaten/Kota;34;8;5;6;53
91;51300;Kab. Kediri;Kabupaten/Kota;36;28;11;16;91
92;51400;Kab. Nganjuk;Kabupaten/Kota;74;13;1;41;129
93;51500;Kab. Blitar;Kabupaten/Kota;42;20;7;23;92
94;51600;Kab. Tulungagung;Kabupaten/Kota;37;10;13;15;75
95;51700;Kab. Trenggalek;Kabupaten/Kota;14;9;4;15;42
96;51800;Kab. Malang;Kabupaten/Kota;205;185;37;131;558
97;51900;Kab. Pasuruan;Kabupaten/Kota;103;18;5;38;164
98;52000;Kab. Probolinggo;Kabupaten/Kota;132;106;31;45;314
99;52100;Kab. Lumajang;Kabupaten/Kota;73;50;42;16;181
100;52200;Kab. Bondowoso;Kabupaten/Kota;83;38;32;60;213
101;52300;Kab. Situbondo;Kabupaten/Kota;67;115;9;39;230
102;52400;Kab. Jember;Kabupaten/Kota;184;236;41;383;844
103;52500;Kab. Banyuwangi;Kabupaten/Kota;77;25;4;20;126
104;52600;Kab. Pamekasan;Kabupaten/Kota;139;103;88;118;448
105;52700;Kab. Sampang;Kabupaten/Kota;294;294;112;74;774
106;52800;Kab. Sumenep;Kabupaten/Kota;102;112;72;104;390
107;52900;Kab. Bangkalan;Kabupaten/Kota;214;122;34;89;459
108;56000;Kota Surabaya;Kabupaten/Kota;257;78;31;80;446
109;56100;Kota Malang;Kabupaten/Kota;12;14;84;35;145
110;56200;Kota Madiun;Kabupaten/Kota;5;0;0;0;5
111;56300;Kota Kediri;Kabupaten/Kota;21;2;3;17;43
112;56400;Kota Mojokerto;Kabupaten/Kota;2;0;0;5;7
113;56500;Kota Blitar;Kabupaten/Kota;0;0;1;14;15
114;56600;Kota Pasuruan;Kabupaten/Kota;7;2;0;2;11
115;56700;Kota Probolinggo;Kabupaten/Kota;16;9;2;20;47
116;56800;Kota Batu;Kabupaten/Kota;6;2;9;2;19
118;60100;Kab. Aceh Besar;Kabupaten/Kota;32;13;15;19;79
119;60200;Kab. Pidie;Kabupaten/Kota;60;28;13;22;123
120;60300;Kab. Aceh Utara;Kabupaten/Kota;94;52;73;24;243
121;60400;Kab. Aceh Timur;Kabupaten/Kota;214;98;2;9;323
122;60500;Kab. Aceh Tengah;Kabupaten/Kota;24;7;5;20;56
123;60600;Kab. Aceh Barat;Kabupaten/Kota;21;5;9;4;39
124;60700;Kab. Aceh Selatan;Kabupaten/Kota;22;26;16;2;66
125;60800;Kab. Aceh Tenggara;Kabupaten/Kota;182;46;23;1;252
126;61100;Kab. Simeulue;Kabupaten/Kota;22;12;16;0;50
127;61200;Kab. Bireuen;Kabupaten/Kota;81;16;33;2;132
128;61300;Kab. Aceh Singkil;Kabupaten/Kota;51;11;4;3;69
129;61400;Kab. Aceh Tamiang;Kabupaten/Kota;19;27;5;7;58
130;61500;Kab. Nagan Raya;Kabupaten/Kota;35;28;8;0;71
131;61600;Kab. Aceh Jaya;Kabupaten/Kota;19;3;15;4;41
132;61700;Kab. Aceh Barat Daya;Kabupaten/Kota;7;2;13;0;22
133;61800;Kab. Gayo Lues;Kabupaten/Kota;18;21;13;2;54
134;61900;Kab. Bener Meriah;Kabupaten/Kota;23;4;8;2;37
135;62000;Kab. Pidie Jaya;Kabupaten/Kota;20;6;9;8;43
